id,Longitude,Latitude,vs30,vs30measured,rotD50_logPGA,geoM_logPGA,rotD50_logSAT0_200,geoM_logSAT0_200,rotD50_logSAT0_300,geoM_logSAT0_300,rotD50_logSAT0_600,geoM_logSAT0_600
0,16.271763,40.25275,443.0,True,-5.949031528246211,-6.001396702559119,-5.922198146068151,-5.958147494137772,-5.817745835654847,-5.798706564181098,-5.441002178630124,-5.382174888754206
1,15.723605,40.601345,175.0,True,-5.824789585773111,-5.806259122030953,-5.793051343407429,-5.744977094888816,-5.60882660299946,-5.6722500988302285,-5.023348714440113,-5.107767115575834
2,13.078598,42.41811,912.0,False,-3.725874648831518,-3.769271644273664,-2.902972204786342,-2.897756429083827,-2.9850942742226816,-2.9270117545891026,-2.6251795417465726,-2.892161884024007
3,13.339298,42.37553,549.0,True,-0.880621066072412,-0.8637151990473237,-0.2545827305342154,-0.3110456027010741,-0.1910385348475394,-0.2971945782636436,-0.6535298233043361,-0.7287624739976003
4,13.337026,42.373474,696.0,True,-0.8460466679388664,-0.7625993074991191,-0.145033427388104,-0.1186666371811755,-0.0789152108963964,-0.1140869537324262,-0.5824962827066807,-0.6507288429294324
5,13.400949,42.344967,705.0,True,-1.076879478655242,-1.074874527952676,-0.67073219109279,-0.6490881495800271,-0.4777441866587336,-0.4779772045182479,-0.7314319015727213,-0.7155753727065165
6,13.343888,42.377222,474.0,True,-0.5854666647252743,-0.5138197552099608,0.1637879894261486,0.2243668553013945,0.0636068907888599,0.0553070035905766,-0.085200947457872,-0.1326637417329233
7,12.604141,43.074982,389.8,False,-5.328122375746394,-5.4175554098674255,-4.471169644058863,-4.585744942670876,-4.033302941212053,-4.167545766402167,-4.810856722397295,-4.849437007623395
8,14.787044,40.922832,431.0,False,-6.721856692187101,-6.666032801988945,-6.632288401598006,-6.612533234384907,-6.454435101794834,-6.481464994834084,-6.03803986756707,-6.066608917782481
9,13.425929,42.027458,199.0,True,-2.7998309016937566,-2.779192935929076,-1.9805481028260936,-1.943638067657248,-1.8915122656923045,-1.8737967160205888,-2.0811585813713136,-1.9990312645767487
10,11.821428,43.747646,1000.0,True,-7.022182285234241,-7.125922988623726,-6.938718209378425,-7.073590212711136,-6.78493199202467,-6.805917196576218,-6.22181103526432,-6.237598110127315
11,12.188036,43.706772,593.0,True,-6.311519957540798,-6.260905985696992,-5.767055293465533,-5.752705040990432,-5.383845070330982,-5.387646976581332,-5.371884296451306,-5.344917091575041
12,14.784882,41.127556,409.0,False,-6.039070357888627,-6.190896878407248,-6.007172025750968,-6.161172841518593,-5.973051174005862,-6.097746365193324,-5.620781011312966,-5.659533443750494
13,14.472103,41.484451,306.0,True,-4.194083919005747,-4.285070931073124,-4.060022866545434,-4.127538531823201,-3.8305425505410127,-3.901813320753063,-3.1243531670509608,-3.1852859288395217
14,15.475419,41.203197,381.0,False,-6.3330292311094105,-6.391756052595676,-6.167830767040535,-6.153051369465421,-5.909687403118805,-5.922926269097664,-5.600082107676563,-5.604168202051194
15,14.11187,41.78714,661.6664428710938,False,-4.655471821929043,-4.632373647453883,-4.073182535247761,-4.0752326189446135,-3.758916356265285,-3.678252376628917,-3.7118073757065297,-3.809484042030032
16,15.9102,41.2595,396.0,False,-6.481351921854316,-6.509113169117891,-6.242664591431506,-6.190132687841124,-5.814446010474828,-5.778671689639228,-5.805145625044984,-5.805170358134003
17,14.147809,42.369827,445.8577270507813,False,-3.548551196805557,-3.5335407943871955,-2.7812734321612163,-2.84359251543908,-2.7911162703744767,-2.8005214351743803,-2.775805790399329,-2.7954184325035167
18,13.520722,42.085224,578.5687866210938,False,-2.459337040989859,-2.45819394804636,-1.722197485062823,-1.7436889040377044,-1.697836670596333,-1.790207565828393,-2.670294026101941,-2.6870874407260703
19,14.6523,41.5628,711.59,False,-5.832067958522403,-5.832072654680646,-5.811027745518206,-5.812895039144145,-5.710195106615437,-5.73598652632804,-5.325625535070103,-5.326189085607012
20,14.712029,41.833427,621.85,False,-5.366918898271893,-5.358229671377269,-4.795162284355215,-4.812267170530761,-4.280225011605476,-4.409403199926795,-4.635570055968145,-4.510027522025987
21,15.104517,41.618225,434.0,False,-6.2449580856136615,-6.293138004167734,-6.020341226709857,-5.947363460541722,-5.575604052658633,-5.6173969282406215,-5.352325275984973,-5.264709587327425
22,13.088044,42.100933,454.3538513183594,False,-4.019622311870524,-4.005132642751908,-3.1948356702966616,-3.2091168775001484,-3.1567074984897228,-3.246781041096832,-3.065835829733262,-3.1534465481370164
23,13.82309,41.48579,648.0,True,-4.766782663692355,-4.705521801681614,-4.183543259638291,-4.269103041933872,-3.792676852675551,-3.88203731236157,-3.759266066228152,-3.761135671121056
24,12.735809,43.955116,208.0,True,-5.470998016036196,-5.542486149454464,-5.206731606568987,-5.183182359604226,-4.838149542317716,-4.777988953109602,-4.59141085981158,-4.618074911190788
25,13.11722,42.268028,790.0,True,-3.710664379829353,-3.675398045982104,-2.8564319734550323,-2.9022170946390577,-2.941567900909896,-2.991871148820325,-2.656175092505044,-2.7224816958812394
26,12.041916,44.199409,296.0,True,-6.460074852451919,-6.443496185419323,-6.254142634243789,-6.221266649410733,-5.89604879385917,-6.001341305672296,-5.527556270201934,-5.483485798627709
27,16.033119,40.843315,760.0,False,-6.224236618796218,-6.163434766260081,-5.9993357043481,-5.991779930882628,-5.7499080227549415,-5.7242364868998425,-5.609233865057369,-5.602440764558813
28,13.519362,42.420689,492.0,True,-1.873906530393519,-1.9155613056347909,-0.9349099215671266,-0.9189727311462708,-0.7143452186418746,-0.7181960656737673,-2.1368013277282234,-2.058228572538912
29,14.2359,41.6106,563.25,False,-5.007966715500988,-5.0061012046434525,-4.416923538643024,-4.471247093975121,-4.098908752038822,-4.116109920061114,-4.041006599203667,-4.041011459259982
30,12.968894,42.558243,1091.0,True,-4.801579260589924,-4.741644667196853,-3.92891041788012,-3.9676855307284464,-3.800842812735048,-3.88177933599117,-4.221264953203921,-4.196248406786079
