id,PRO_COM,Longitude,Latitude,vs30,BuildingClass,DamageState
0,66100,13.634950200000006,42.20339498835151,504.191,A-L,0
1,68005,13.825391500000007,42.21358488836047,424.55734,A-MH,1
2,66043,13.605335000000002,42.22993958837481,456.6353,A-MH,4
3,66087,13.5580817,42.28888359421324,467.61734,C1-L,1
4,66087,13.553941999999989,42.289208788426734,441.81458,A-L,4
5,66031,13.728215,42.13182498828853,440.9361,B-MH,0
6,66087,13.554454700000004,42.28957428842703,455.94196,A-MH,0
7,66031,13.7306582,42.12876698828582,438.82678,A-MH,1
8,66043,13.606876699999995,42.2318343883765,438.6784,C1-L,0
9,66087,13.554370600000004,42.289288488426806,455.94196,B-L,0
10,66087,13.559278000000004,42.29213568842928,422.20352,A-L,4
11,66087,13.553992300000004,42.29135858842864,470.95563,A-MH,4
12,66014,13.679396617594197,42.32791990376862,651.94415,A-MH,3
13,66009,13.584757363965394,42.34938644642876,656.9046,A-MH,4
14,66031,13.730719331543298,42.12889065191123,438.82678,A-L,4
15,66087,13.5546907,42.28971538842715,475.29922,A-MH,3
16,66043,13.606988615051527,42.2317780172347,438.6784,B-L,0
17,66087,13.553917491436382,42.28926601990886,441.81458,A-L,1
18,66087,13.554038230272006,42.2892617634586,441.81458,A-L,4
19,66087,13.559490200000004,42.292055288429225,422.20352,A-L,4
20,66031,13.730731199999994,42.13049698828734,440.43765,A-L,4
21,66087,13.556507600000002,42.28837198842599,446.9307,A-L,4
22,66097,13.679674736645014,42.15084509629063,544.2889,A-MH,4
23,66042,13.582414563812195,42.25010788824402,460.88574,A-MH,2
24,66009,13.584757363965398,42.34938645218908,656.9046,A-L,3
25,66097,13.682817660641058,42.15290026485257,535.9723,A-MH,4
26,66042,13.580030600000002,42.26966148840962,464.9042,B-MH,0
27,66087,13.557941599999998,42.29120928842854,416.93433,A-L,4
28,66097,13.67958713925166,42.14940152658184,546.7164,A-L,1
29,66031,13.730604468681635,42.128985339437584,438.82678,A-L,4
30,66042,13.584005899999994,42.26085398840191,480.4734,B-L,0
