mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.001,0.001,850.0,1655.0,1.01
0.001,0.001,845.0,1825.0,1.01
0.002,0.001,1299.0,1976.0,1.0
0.001,0.001,1412.0,1996.0,1.01
0.002,0.002,1952.0,2032.0,1.0
0.002,0.002,1897.0,1902.0,1.0
0.0,0.0,4422.0,2158.0,1.0
0.0,0.0,4918.0,2172.0,1.0
0.0,0.0,5040.0,2057.0,1.0
0.0,0.0,5281.0,2233.0,1.0
0.0,0.0,5019.0,2202.0,1.0
0.0,0.0,5792.0,1741.0,1.0
0.0,0.0,4910.0,2324.0,1.01
0.0,0.0,6036.0,2270.0,1.0
0.0,0.0,5614.0,2165.0,1.0
0.0,0.0,5350.0,2183.0,1.0
0.0,0.0,5261.0,2088.0,1.0
0.001,0.0,5983.0,1973.0,1.0
0.001,0.0,5497.0,1999.0,1.0
0.0,0.0,5669.0,2042.0,1.0
0.001,0.0,4467.0,2251.0,1.0
0.001,0.0,5342.0,2155.0,1.0
0.001,0.001,4488.0,2048.0,1.0
0.001,0.0,4942.0,2164.0,1.0
0.001,0.001,5122.0,2000.0,1.0
0.001,0.001,5784.0,1965.0,1.0
0.001,0.001,4704.0,2296.0,1.0
0.001,0.0,5629.0,2088.0,1.0
0.001,0.001,4942.0,1788.0,1.0
0.001,0.001,5531.0,2096.0,1.0
0.005,0.004,612.0,1160.0,1.01
0.006,0.005,587.0,1511.0,1.01
0.005,0.003,704.0,1347.0,1.01
0.005,0.003,820.0,1680.0,1.01
0.005,0.003,1183.0,1618.0,1.0
0.005,0.004,1168.0,1821.0,1.01
0.007,0.005,3088.0,2091.0,1.0
0.014,0.01,3053.0,2111.0,1.0
0.011,0.009,4722.0,2407.0,1.0
0.011,0.008,3023.0,1947.0,1.0
0.005,0.004,2605.0,2273.0,1.0
0.006,0.004,2719.0,2185.0,1.0
0.007,0.01,4101.0,2213.0,1.0
0.007,0.006,2215.0,1824.0,1.0
0.013,0.012,4590.0,2456.0,1.0
0.012,0.021,6657.0,2143.0,1.0
0.011,0.01,3026.0,2035.0,1.0
0.009,0.006,3436.0,2420.0,1.0
0.014,0.011,3726.0,2112.0,1.0
0.004,0.003,2562.0,2620.0,1.0
0.004,0.003,2737.0,2354.0,1.0
0.005,0.003,2211.0,2050.0,1.0
0.011,0.011,5027.0,2168.0,1.0
0.013,0.011,3174.0,1888.0,1.0
0.004,0.004,2895.0,2487.0,1.0
0.005,0.003,2688.0,2181.0,1.0
0.013,0.012,3776.0,2276.0,1.0
0.013,0.02,5500.0,2158.0,1.0
0.012,0.012,3551.0,2348.0,1.0
0.011,0.009,3890.0,2419.0,1.0
0.005,0.003,3146.0,2264.0,1.0
0.012,0.01,4212.0,2213.0,1.0
0.005,0.003,1902.0,2296.0,1.0
0.008,0.007,2272.0,2264.0,1.0
0.012,0.01,3197.0,2251.0,1.0
0.012,0.012,4197.0,2059.0,1.0
0.012,0.01,4242.0,2359.0,1.0
0.012,0.01,3376.0,2032.0,1.0
0.008,0.006,2261.0,2117.0,1.0
0.01,0.009,2952.0,1986.0,1.0
0.007,0.005,2489.0,2297.0,1.0
0.011,0.009,4164.0,2342.0,1.0
0.012,0.013,4894.0,2341.0,1.0
0.013,0.012,3715.0,2258.0,1.0
0.013,0.017,5080.0,2290.0,1.0
0.012,0.016,5676.0,2262.0,1.0
0.007,0.006,2503.0,2138.0,1.0
0.006,0.004,2239.0,2064.0,1.0
0.012,0.014,5413.0,2328.0,1.0
0.012,0.017,5965.0,2439.0,1.0
0.011,0.009,4987.0,2488.0,1.0
0.012,0.018,5394.0,1785.0,1.0
0.013,0.019,5648.0,2241.0,1.0
0.014,0.012,3671.0,2509.0,1.0
0.013,0.014,4247.0,2260.0,1.0
0.006,0.004,2483.0,2142.0,1.0
0.013,0.013,4783.0,2307.0,1.0
0.009,0.008,3051.0,2483.0,1.0
0.006,0.005,2782.0,2232.0,1.0
0.006,0.005,3678.0,2140.0,1.0
0.012,0.01,3980.0,2442.0,1.0
0.013,0.019,5120.0,2138.0,1.0
0.012,0.02,6474.0,2492.0,1.0
0.013,0.011,4147.0,2502.0,1.0
0.011,0.017,4824.0,2046.0,1.0
0.012,0.023,7079.0,1879.0,1.01
0.011,0.009,4660.0,2124.0,1.0
0.012,0.013,4382.0,2227.0,1.0
0.012,0.018,5753.0,2095.0,1.0
0.013,0.012,4404.0,2436.0,1.0
0.017,0.012,1801.0,2034.0,1.0
0.013,0.014,4665.0,2213.0,1.0
0.007,0.006,3058.0,2291.0,1.0
0.012,0.013,4248.0,2355.0,1.0
0.008,0.006,2916.0,2246.0,1.0
0.014,0.013,3623.0,2245.0,1.0
0.006,0.004,1462.0,2074.0,1.0
0.006,0.005,3587.0,2405.0,1.0
0.013,0.018,5602.0,2168.0,1.0
0.01,0.01,4827.0,2303.0,1.0
0.012,0.017,6060.0,2288.0,1.0
0.005,0.004,3593.0,2282.0,1.0
0.008,0.009,3279.0,2059.0,1.0
0.013,0.016,5479.0,2009.0,1.0
0.014,0.013,4644.0,2405.0,1.0
0.014,0.018,4747.0,2103.0,1.0
0.005,0.004,3320.0,2319.0,1.0
0.013,0.02,5292.0,2009.0,1.0
0.012,0.015,4566.0,2279.0,1.0
0.013,0.02,4952.0,2026.0,1.0
0.011,0.015,5897.0,2139.0,1.0
0.013,0.021,5693.0,2085.0,1.0
0.01,0.009,4062.0,2472.0,1.0
0.015,0.018,4160.0,2167.0,1.0
0.011,0.008,3927.0,2115.0,1.0
0.009,0.007,3474.0,2323.0,1.0
0.013,0.017,5674.0,2488.0,1.0
0.013,0.013,4039.0,1992.0,1.0
0.012,0.021,6175.0,2090.0,1.0
0.012,0.016,5821.0,2109.0,1.0
0.004,0.004,3986.0,2591.0,1.0
0.011,0.009,5863.0,2419.0,1.0
0.012,0.024,6947.0,1935.0,1.0
0.012,0.02,6611.0,2178.0,1.0
0.005,0.004,3374.0,2223.0,1.0
0.005,0.004,2921.0,2077.0,1.0
0.005,0.004,2729.0,2129.0,1.0
0.012,0.013,6024.0,2041.0,1.0
