mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.002,0.001,510.0,1115.0,1.0
0.001,0.001,591.0,1053.0,1.0
0.002,0.001,893.0,1628.0,1.0
0.002,0.001,784.0,1495.0,1.0
0.003,0.002,1246.0,1911.0,1.0
0.003,0.002,1176.0,1468.0,1.0
0.0,0.0,3027.0,2299.0,1.0
0.0,0.0,4644.0,2392.0,1.0
0.0,0.0,3897.0,1962.0,1.0
0.001,0.0,2696.0,2320.0,1.0
0.001,0.001,2586.0,2382.0,1.0
0.0,0.0,4204.0,2126.0,1.0
0.001,0.0,3186.0,2325.0,1.0
0.001,0.001,3264.0,2225.0,1.0
0.001,0.0,3850.0,2279.0,1.0
0.0,0.0,4091.0,2378.0,1.0
0.0,0.0,4667.0,2339.0,1.0
0.001,0.0,5248.0,1749.0,1.0
0.001,0.001,3245.0,2319.0,1.0
0.0,0.0,4510.0,2032.0,1.01
0.001,0.0,4292.0,2204.0,1.0
0.001,0.001,3472.0,1980.0,1.0
0.001,0.001,3801.0,2296.0,1.0
0.001,0.0,4631.0,2560.0,1.0
0.001,0.001,4930.0,2158.0,1.0
0.001,0.001,4358.0,1849.0,1.0
0.001,0.001,2729.0,2259.0,1.0
0.001,0.001,4818.0,2257.0,1.0
0.001,0.001,4239.0,2298.0,1.0
0.001,0.001,4265.0,2346.0,1.0
0.008,0.006,462.0,981.0,1.01
0.01,0.007,496.0,1014.0,1.0
0.007,0.005,517.0,1113.0,1.0
0.008,0.006,494.0,874.0,1.01
0.007,0.005,636.0,1044.0,1.01
0.009,0.006,652.0,1333.0,1.0
0.012,0.009,2496.0,2422.0,1.0
0.016,0.011,2982.0,2158.0,1.0
0.013,0.011,4164.0,2127.0,1.0
0.013,0.01,2666.0,2212.0,1.0
0.012,0.009,1551.0,1709.0,1.0
0.011,0.008,2037.0,2325.0,1.0
0.013,0.01,2300.0,2122.0,1.0
0.011,0.008,2277.0,2113.0,1.0
0.015,0.013,4082.0,1880.0,1.0
0.014,0.015,4473.0,2522.0,1.0
0.014,0.011,3152.0,2425.0,1.0
0.013,0.011,3074.0,2169.0,1.0
0.014,0.013,4189.0,2367.0,1.0
0.011,0.008,2019.0,2211.0,1.0
0.011,0.008,2024.0,1826.0,1.0
0.011,0.008,2156.0,2183.0,1.0
0.013,0.016,4849.0,2335.0,1.0
0.014,0.014,3987.0,2039.0,1.0
0.011,0.008,1774.0,2162.0,1.0
0.011,0.008,2430.0,2294.0,1.0
0.013,0.013,4163.0,2550.0,1.0
0.014,0.02,4573.0,2252.0,1.0
0.012,0.015,4084.0,1928.0,1.0
0.013,0.011,3416.0,2435.0,1.0
0.011,0.008,2523.0,2416.0,1.0
0.013,0.012,3624.0,2125.0,1.0
0.011,0.008,1801.0,1889.0,1.0
0.012,0.008,1982.0,2290.0,1.0
0.014,0.014,3753.0,2324.0,1.0
0.012,0.014,4518.0,2328.0,1.0
0.014,0.013,4027.0,2201.0,1.0
0.013,0.011,3618.0,2446.0,1.0
0.014,0.011,1953.0,1931.0,1.0
0.013,0.011,2961.0,2173.0,1.0
0.011,0.008,2839.0,2454.0,1.0
0.014,0.013,4015.0,2511.0,1.0
0.013,0.016,4662.0,2302.0,1.0
0.014,0.013,3784.0,2278.0,1.0
0.014,0.016,3999.0,2004.0,1.0
0.014,0.019,4903.0,2003.0,1.0
0.012,0.01,2460.0,2199.0,1.0
0.012,0.009,2202.0,2220.0,1.0
0.013,0.017,5193.0,2175.0,1.0
0.014,0.016,4522.0,2354.0,1.0
0.013,0.012,4807.0,2459.0,1.0
0.015,0.018,4316.0,2393.0,1.0
0.015,0.019,4371.0,2200.0,1.0
0.014,0.011,3251.0,2349.0,1.0
0.014,0.018,4608.0,2426.0,1.0
0.011,0.008,2522.0,2475.0,1.0
0.014,0.014,4136.0,2277.0,1.0
0.013,0.009,2918.0,2398.0,1.0
0.012,0.008,2558.0,2326.0,1.0
0.011,0.01,3251.0,1902.0,1.0
0.013,0.011,3415.0,2526.0,1.0
0.013,0.02,5590.0,2203.0,1.0
0.013,0.019,5181.0,2218.0,1.0
0.015,0.014,3625.0,2672.0,1.0
0.013,0.014,4124.0,2214.0,1.0
0.013,0.022,5776.0,2099.0,1.0
0.013,0.012,3662.0,2113.0,1.0
0.013,0.013,4607.0,2235.0,1.0
0.013,0.019,5402.0,2287.0,1.0
0.014,0.012,3643.0,2480.0,1.0
0.014,0.011,2349.0,2395.0,1.0
0.014,0.016,4434.0,2458.0,1.0
0.012,0.008,2568.0,2162.0,1.0
0.014,0.018,4946.0,2360.0,1.0
0.012,0.01,3200.0,2463.0,1.0
0.016,0.015,2856.0,2154.0,1.0
0.009,0.007,2666.0,2062.0,1.0
0.011,0.01,2874.0,2078.0,1.0
0.015,0.018,4290.0,2232.0,1.0
0.013,0.015,4764.0,2371.0,1.0
0.013,0.017,5082.0,2051.0,1.0
0.011,0.011,2977.0,1964.0,1.0
0.012,0.011,3135.0,2718.0,1.0
0.012,0.019,6086.0,2081.0,1.0
0.014,0.017,4754.0,2345.0,1.0
0.015,0.017,4242.0,2368.0,1.0
