mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.001,0.001,1101.0,1722.0,1.0
0.001,0.001,1051.0,1860.0,1.0
0.002,0.001,1379.0,2016.0,1.0
0.001,0.001,1598.0,2089.0,1.0
0.002,0.001,2557.0,2294.0,1.0
0.002,0.002,2355.0,1924.0,1.0
0.0,0.0,6965.0,2514.0,1.0
0.0,0.0,7555.0,2016.0,1.0
0.0,0.0,7336.0,2295.0,1.0
0.0,0.0,7052.0,2330.0,1.0
0.0,0.0,6718.0,2177.0,1.0
0.0,0.0,6125.0,2206.0,1.0
0.0,0.0,6871.0,2393.0,1.0
0.0,0.0,7212.0,1999.0,1.0
0.0,0.0,6691.0,2493.0,1.0
0.0,0.0,7152.0,1971.0,1.0
0.0,0.0,7840.0,2297.0,1.0
0.001,0.0,6695.0,2245.0,1.0
0.0,0.0,7439.0,1922.0,1.0
0.0,0.0,6283.0,1883.0,1.01
0.0,0.0,6511.0,2073.0,1.0
0.001,0.0,7258.0,2088.0,1.0
0.001,0.0,7075.0,2191.0,1.0
0.0,0.0,8149.0,2276.0,1.0
0.001,0.0,7060.0,1504.0,1.0
0.001,0.001,8671.0,2003.0,1.01
0.001,0.001,5698.0,2050.0,1.0
0.001,0.0,5073.0,2214.0,1.0
0.001,0.001,6417.0,1556.0,1.0
0.001,0.001,6728.0,1898.0,1.0
0.005,0.004,897.0,1684.0,1.0
0.006,0.005,888.0,1648.0,1.0
0.005,0.003,1063.0,1685.0,1.0
0.005,0.004,1111.0,1826.0,1.0
0.005,0.004,1687.0,1938.0,1.0
0.006,0.005,1693.0,1880.0,1.0
0.007,0.005,3438.0,2524.0,1.0
0.012,0.009,4775.0,1980.0,1.0
0.01,0.009,5522.0,2324.0,1.0
0.009,0.007,4593.0,2265.0,1.0
0.005,0.004,3545.0,2326.0,1.0
0.005,0.004,3806.0,2234.0,1.0
0.007,0.01,5081.0,2488.0,1.0
0.006,0.006,3056.0,1974.0,1.0
0.012,0.011,5898.0,2120.0,1.0
0.01,0.021,9344.0,1953.0,1.0
0.009,0.009,4414.0,2645.0,1.0
0.008,0.006,4344.0,2076.0,1.0
0.011,0.01,6065.0,2374.0,1.01
0.004,0.003,2984.0,2446.0,1.0
0.004,0.003,3618.0,2398.0,1.0
0.004,0.003,2913.0,2433.0,1.0
0.011,0.012,5443.0,2406.0,1.0
0.011,0.009,4836.0,2289.0,1.0
0.004,0.003,3280.0,2228.0,1.0
0.004,0.003,3878.0,1985.0,1.0
0.011,0.012,5381.0,2221.0,1.0
0.013,0.021,6041.0,2083.0,1.0
0.01,0.015,5096.0,1997.0,1.0
0.009,0.008,5343.0,2179.0,1.0
0.004,0.003,3981.0,2749.0,1.0
0.01,0.01,6439.0,2184.0,1.0
0.004,0.003,2703.0,2534.0,1.0
0.007,0.006,3386.0,2426.0,1.0
0.01,0.008,4972.0,2286.0,1.0
0.01,0.01,6028.0,2188.0,1.0
0.01,0.009,6159.0,2098.0,1.0
0.009,0.008,5462.0,2203.0,1.0
0.007,0.005,2905.0,2479.0,1.0
0.009,0.009,4124.0,2215.0,1.0
