x,y,rec_logPGA,mean_logPGA_1,q05_logPGA_1,q95_logPGA_1,mean_logPGA_2,q05_logPGA_2,q95_logPGA_2
-20.0,0,-2.733838979550169,-2.606581982339154,-3.6696294618087926,-1.5435345028695153,-2.954314095764216,-3.7189183407794397,-2.251397491447043
-19.91983967935872,0,-2.9234553136163,-2.604780449288616,-3.665297214901256,-1.5442636836759758,-2.956386060287375,-3.719976799217876,-2.295388108282756
-19.83967935871744,0,-2.940833978407987,-2.603035076232018,-3.6609305957667155,-1.5451395566973198,-2.9533433922408396,-3.6788475963545593,-2.296341438284777
-19.75951903807616,0,-3.001684424899444,-2.601347322774612,-3.6565272663109303,-1.5461673792382937,-2.9495860657528112,-3.6641812241705662,-2.307181856593125
-19.67935871743487,0,-3.0609045238678108,-2.599718681168814,-3.6520847331062614,-1.5473526292313664,-2.9445161799439945,-3.6552918817977598,-2.294752122387284
-19.599198396793582,0,-2.902983563201854,-2.598150677026285,-3.64760033685998,-1.5487010171925903,-2.9391085579615264,-3.6322133792930242,-2.3273462806138454
-19.519038076152302,0,-3.097623299922512,-2.5966448700454703,-3.643071241059931,-1.5502184990310093,-2.9314435335351052,-3.6306503205871454,-2.3353262964608934
-19.438877755511022,0,-2.905274580070615,-2.5952028547549224,-3.638494419719298,-1.5519112897905465,-2.9220231014372255,-3.6000594874397303,-2.3321012757354187
-19.35871743486974,0,-2.929924798071313,-2.5938262612727447,-3.633866644133097,-1.5537858784123926,-2.9135419701752228,-3.598712679281993,-2.3209151463791993
-19.27855711422845,0,-2.9389883920762774,-2.592516756082523,-3.6291844685487358,-1.5558490436163104,-2.90355725902049,-3.5751978259178037,-2.292969464718936
-19.19839679358717,0,-3.011897653041647,-2.5912760428260895,-3.6244442146411333,-1.5581078710110456,-2.8912223698123074,-3.538999622887691,-2.288069688409917
-19.11823647294589,0,-2.8199630321150773,-2.5901058631134766,-3.6196419546693877,-1.5605697715575655,-2.8733810343898076,-3.504015821066757,-2.275436902233118
-19.03807615230461,0,-2.8356544873354927,-2.589007997350463,-3.6147734931765534,-1.5632425015243727,-2.856868822214713,-3.5030275770780706,-2.2609006301609966
-18.95791583166333,0,-2.6297769826088366,-2.587984265584061,-3.6098343470761938,-1.5661341840919285,-2.8342828879601316,-3.4609987109763503,-2.2344105510947463
-18.877755511022045,0,-2.450780394121998,-2.5870365283663554,-3.604819723948893,-1.5692533327838183,-2.810493945141241,-3.4241833785157896,-2.208424521108987
-18.79759519038076,0,-2.239908072412102,-2.586166687637085,-3.5997244983481167,-1.5726088769260531,-2.7844644963113554,-3.3908760909561217,-2.1816067612388714
-18.71743486973948,0,-2.2348822604337752,-2.5853766876253754,-3.594543185887234,-1.576210189363517,-2.7591539804120826,-3.3628858547981997,-2.1721672639339284
-18.6372745490982,0,-2.4860211721389773,-2.5846685157710345,-3.589269914847402,-1.5800671166946667,-2.7321099033083946,-3.352625370672733,-2.170568327262411
-18.55711422845692,0,-2.6965451024791616,-2.5840442036658473,-3.583898395008566,-1.5841900123231285,-2.6993308114735064,-3.3027272279071025,-2.1313612201402363
